Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
TJ Leaf,Ind,PF,4,BackCourt,20,18,11.1,23.1,15.4,0.086,7,0.429,40,0.5,21,0.476,0.57,4.1,1.8,9,0.3,3.5,0.22,0.11,0.33,4.7,111.8,102.1
TJ Warren,Pho,SF,3,BackCourt,24,23,30.9,64.4,24.4,0.069,94,0.755,318,0.535,33,0.121,0.539,18.4,5.8,9.6,1.2,6.9,0.78,0.87,1.26,6.5,110.1,108.6
Tobias Harris,Det,PF,4,BackCourt,25,20,32.9,68.5,22.4,0.042,39,0.897,184,0.478,122,0.467,0.591,19.1,5.5,9.4,1.7,8.3,0.55,0.2,0.7,6.8,121.9,104.8
Tomas Satoransky,Was,SG,2,FrontCourt,26,12,13.5,28.1,13.3,0.122,12,0.667,30,0.467,8,0.375,0.52,3.8,1.9,7.9,2.5,26.3,0.42,0,0.5,7.8,119.5,98.9
Tony Allen,Nor,SG,2,FrontCourt,36,17,13.6,28.3,18.9,0.169,13,0.462,67,0.522,11,0.273,0.508,5,2.5,10,0.5,5.8,0.59,0.18,1,5.4,93.1,94.2
Tony Bradley,Uta,C,5,BackCourt,20,7,3,6.2,21.5,0,2,1,8,0.125,1,0,0.202,0.6,1.1,22.3,0.1,6.6,0,0,0,5.4,,
Tony Parker,San,PG,1,FrontCourt,35,2,16,33.3,22.2,0.063,2,1,14,0.5,0,0,0.538,8,1,3.5,4.5,48.3,0,0,0.5,8.3,123.7,101.1
Tony Snell,Mil,SF,3,BackCourt,26,20,31.9,66.4,10,0.079,16,0.75,51,0.627,70,0.486,0.695,8.9,2.2,4,1.8,7.7,0.75,0.4,0.55,4.1,130.6,109.8
Torrey Craig,Den,SG,2,FrontCourt,27,1,6.2,12.9,6.9,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,113
Treveon Graham,Cha,SG,2,FrontCourt,24,12,17.5,36.4,11.7,0.089,10,0.7,29,0.448,18,0.278,0.467,4,2.3,6.8,1.4,11.7,0.67,0,0.42,5.4,106.6,96.9
Trevor Ariza,Hou,SF,3,BackCourt,32,19,34.2,71.2,13.9,0.101,21,0.905,43,0.581,135,0.385,0.601,11.8,4.6,7.5,2.2,9.1,1.47,0.16,1.11,5.8,117.9,101
Trevor Booker,Bro,PF,4,BackCourt,30,16,22.5,46.9,20.9,0.148,41,0.561,126,0.556,11,0.273,0.555,10.8,6.9,15.9,1.9,13.9,0.5,0.31,1.69,9.3,108.3,101.5
Trey Lyles,Den,PF,4,BackCourt,22,16,10.1,21,18.9,0.14,12,0.75,33,0.545,23,0.391,0.587,4.5,2.5,13.8,0.4,6.6,0.25,0.31,0.63,6.5,110,106
Tristan Thompson,Cle,C,5,BackCourt,26,8,21.6,45,9.1,0.167,11,0.455,25,0.6,0,0,0.586,4.4,6.4,16.6,0.4,2.3,0.13,0.5,0.75,4.2,119.6,103
Troy Daniels,Pho,SG,2,FrontCourt,26,23,15.3,31.9,15.6,0.105,4,0.75,24,0.417,94,0.436,0.61,6.3,1,3.5,0.4,4.2,0.17,0,0.61,3.6,111.2,109.9
Troy Williams,Hou,SF,3,BackCourt,23,4,4.3,8.9,28.8,0.088,3,0.333,4,0.5,5,0,0.242,1.3,1,13.2,0.3,8.5,0.25,0,0.25,6.8,,
Tyler Cavanaugh,Atl,PF,4,BackCourt,23,12,9.1,19,13.2,0.061,2,1,11,0.727,19,0.421,0.68,3.5,1.9,12,0.8,13.9,0.08,0.08,0.17,7.7,138.9,101.4
Tyler Dorsey,Atl,SG,2,FrontCourt,21,7,6.5,13.6,20.9,0.184,4,0.75,5,0.4,11,0.273,0.45,2.3,0.9,7.4,0.3,6.3,0,0,0.57,5.3,81.1,115.9
Tyler Ennis,Lal,PG,1,FrontCourt,23,10,5.6,11.7,17.7,0.126,4,1,15,0.467,4,0,0.434,1.8,0.7,6.5,0.8,19.9,0.4,0.1,0.3,7.2,94.1,98
Tyler Johnson,Mia,SG,2,FrontCourt,25,20,27.4,57,18,0.109,39,0.949,92,0.391,87,0.299,0.477,9.4,3.2,6.4,2.1,11.7,0.65,0.85,1.2,5.8,97,103.1
Tyler Lydon,Den,PF,4,BackCourt,21,1,2.2,4.6,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,
Tyler Ulis,Pho,PG,1,FrontCourt,22,22,22.6,47.1,19.2,0.185,42,0.81,138,0.42,33,0.242,0.459,7.9,1.9,4.2,4,25.5,1.14,0.05,1.95,6.9,92.7,109.1
Tyler Zeller,Bro,C,5,BackCourt,28,13,18,37.4,17.2,0.134,28,0.607,65,0.615,7,0.429,0.629,8.2,3.8,10.9,0.8,7.4,0.54,0.54,1,6.5,119.1,103.2
Tyreke Evans,Mem,SF,3,BackCourt,28,20,28.5,59.4,27.8,0.119,73,0.753,186,0.527,86,0.419,0.59,18,5,10.1,3.5,24,1,0.35,2.05,9.5,112.5,103.6
Tyson Chandler,Pho,C,5,BackCourt,35,17,25.1,52.3,11,0.184,39,0.667,76,0.645,0,0,0.666,7.3,9.2,18.8,0.7,4,0.29,0.65,1.24,5.8,123.5,102
Tyus Jones,Min,PG,1,FrontCourt,21,22,18.2,37.9,10.9,0.14,20,0.75,46,0.478,31,0.355,0.536,4.2,2,6.3,3,22.5,1.14,0.09,0.64,6.4,118.8,105
Udonis Haslem,Mia,PF,4,BackCourt,37,2,4.3,9,5.2,0,0,0,1,1,0,0,1,1,0.5,6.4,0,0,0,0,0,0,,
Vander Blue,Lal,G,5,BackCourt,25,4,7,14.6,7.4,0.4,0,0,3,0.333,0,0,0.333,0.5,0.3,1.9,0.3,4.4,0,0,0.5,2,48.2,105.9
Victor Oladipo,Ind,SG,2,FrontCourt,25,21,33.1,68.9,30.4,0.141,105,0.8,256,0.484,112,0.438,0.578,22.8,5,8.4,3.9,19,1.81,1.05,3.24,9.2,106.8,102.6
Vince Carter,Sac,SG,2,FrontCourt,41,12,12,25.1,15.1,0.123,6,0.5,17,0.235,23,0.261,0.34,2.4,1.3,6.3,0.8,8.9,0.5,0.33,0.5,4.5,71.8,103.9
Wayne Ellington,Mia,SG,2,FrontCourt,30,21,19.6,40.8,16.2,0.061,16,0.938,13,0.385,119,0.412,0.619,8.2,1.8,5,1,8,0.52,0.05,0.43,5,120.1,107.7
Wayne Selden,Mem,G,5,BackCourt,23,2,9.6,20,18.9,0.381,2,1,2,0.5,2,0.5,0.717,3.5,1,6,2,32.5,0.5,0,1.5,8,103.6,110.9
Wes Iwundu,Orl,SG,2,FrontCourt,23,5,4.9,10.3,25.2,0.209,3,0.333,10,0.4,0,0,0.398,1.8,1,11,0.6,18,0.2,0,0.6,8.4,,
Wesley Johnson,Lac,SF,3,BackCourt,30,20,25.1,52.4,13.1,0.126,21,0.714,62,0.597,61,0.361,0.586,7.8,3.7,8.2,1,5.9,1.05,1,0.95,4.9,111,102.4
Wesley Matthews,Dal,SG,2,FrontCourt,31,22,35,72.8,16.3,0.129,34,0.794,93,0.333,136,0.412,0.527,11.7,3.1,4.9,2.9,12.9,1.23,0.09,1.64,5.4,100.3,105.9
Will Barton,Den,SG,2,FrontCourt,27,21,29.6,61.7,21.5,0.122,64,0.688,144,0.514,102,0.431,0.591,15.4,5,9.4,2.9,15.2,1.05,0.38,1.81,8.2,114.7,104.8
Willie Cauley-Stein,Sac,C,5,BackCourt,24,21,25.4,52.9,20,0.135,53,0.717,177,0.508,5,0.2,0.538,10.5,6.3,14.1,2,13.5,0.86,0.95,1.52,8,106.3,104.6
Willie Reed,Lac,PF,4,BackCourt,27,19,11.1,23.1,18.1,0.103,35,0.629,62,0.694,1,1,0.708,5.8,3.3,16.7,0.3,4.1,0.16,0.42,0.47,6.5,133.6,93.7
Willy Hernangomez,Nyk,C,5,BackCourt,23,13,10.5,21.9,23.7,0.229,14,0.286,48,0.563,3,0.333,0.534,4.7,3.2,17,0.8,11.7,0.38,0.46,1.31,8.7,92.9,88.6
Wilson Chandler,Den,SF,3,BackCourt,30,18,30.3,63.1,13.8,0.159,32,0.813,81,0.519,53,0.302,0.533,8.8,4.4,8.1,2.6,12,0.5,0.39,1.56,6.1,107.6,106.5
Yogi Ferrell,Dal,PG,1,FrontCourt,24,22,28.3,58.9,15.5,0.14,50,0.8,83,0.434,80,0.375,0.546,9.2,2.5,4.9,2,10.9,0.77,0.14,1.36,5.1,102.4,105.1
Zach Collins,Por,C,5,BackCourt,20,7,4.8,10,19.4,0.4,0,0,6,0,3,0.333,0.167,0.4,0.9,9.7,0.3,8,0,0,0.86,4,,
Zach Randolph,Sac,PF,4,BackCourt,36,19,24.1,50.1,26.4,0.134,38,0.763,182,0.495,34,0.353,0.526,12.9,5.9,14.1,2,15.2,0.89,0.16,1.89,8.9,101,106.4
Zaza Pachulia,Gol,C,5,BackCourt,33,22,14.6,30.4,16.5,0.243,26,0.808,82,0.549,0,0,0.594,5,4.8,18,1.5,13.4,0.86,0.23,1.36,9,108.1,92.9
Zhou Qi,Hou,PF,4,BackCourt,22,11,5.2,10.9,20,0.15,6,0.833,9,0.222,11,0.182,0.331,1.4,1,10.7,0.1,2.3,0.18,0.55,0.36,4,68.2,90.2
